Dealer,Destination,PreferenceOrder,TransportCompanyId,TransportCompanyName,TruckNumber,SupplierRating,BankGuarantee
Bendigo CC,Bendigo (VIC),1,,Wardys,1,9.0,No
Bendigo CC,Bendigo (VIC),2,,MJO,2,9.1,No
Bendigo CC,Bendigo (VIC),3,,Brohood,3,6.7,Yes
Bendigo CC,Bendigo (VIC),4,,RV Transport,7,9.8,No
Bendigo CC,Bendigo (VIC),5,,LDA,6,6.4,Yes
Bendigo CC,Bendigo (VIC),6,,AMR,1,9.6,No
Bendigo CC,Bendigo (VIC),7,,2 Up Towing,2,9.6,No
Bendigo CC,Bendigo (VIC),8,,Rescue 6 Towing,3,8.6,No
Warrnambool,Warrnambool (VIC),1,,Wardys,1,9.0,No
Warrnambool,Warrnambool (VIC),2,,MJO,2,9.1,No
Warrnambool,Warrnambool (VIC),3,,Brohood,3,6.7,Yes
Warrnambool,Warrnambool (VIC),4,,Rescue 6 Towing,3,8.6,No
Warrnambool,Warrnambool (VIC),5,,AMR,2,9.6,No
Warrnambool,Warrnambool (VIC),6,,2 Up Towing,2,9.6,No
Warrnambool,Warrnambool (VIC),7,,2 Up Towing,2,9.6,No
Warrnambool,Warrnambool (VIC),8,,CBC,60,8.2,Yes
Frankston,Frankston (VIC),1,,Wardys,1,9.0,No
Frankston,Frankston (VIC),2,,MJO,2,9.1,No
Frankston,Frankston (VIC),3,,RV Transport,7,9.8,No
Frankston,Frankston (VIC),4,,Brohood,3,6.7,Yes
Frankston,Frankston (VIC),5,,AMR,2,9.6,No
Frankston,Frankston (VIC),6,,2 Up Towing,2,9.6,No
Frankston,Frankston (VIC),7,,Rescue 6 Towing,3,8.6,No
Frankston,Frankston (VIC),8,,BCT,7,5.3,Yes
Snowy Geelong,Geelong (VIC),1,,Wardys,1,9.0,No
Snowy Geelong,Geelong (VIC),2,,MJO,2,9.1,No
Snowy Geelong,Geelong (VIC),3,,RV Transport,7,9.8,No
Snowy Geelong,Geelong (VIC),4,,Brohood,3,6.7,Yes
Snowy Geelong,Geelong (VIC),5,,AMR,2,9.6,No
Snowy Geelong,Geelong (VIC),6,,2 Up Towing,2,9.6,No
Snowy Geelong,Geelong (VIC),7,,BCT,7,5.3,Yes
Snowy Geelong,Geelong (VIC),8,,Rescue 6 Towing,3,8.6,No
Snowy Wangaratta,Wangaratta (VIC),1,,Wardys,1,9.0,No
Snowy Wangaratta,Wangaratta (VIC),2,,RV Transport,7,9.8,No
Snowy Wangaratta,Wangaratta (VIC),3,,MJO,2,9.1,No
Snowy Wangaratta,Wangaratta (VIC),4,,Rescue 6 Towing,3,8.6,No
Snowy Wangaratta,Wangaratta (VIC),5,,LDA,6,6.4,Yes
Snowy Wangaratta,Wangaratta (VIC),6,,BCT,7,5.3,Yes
Snowy Wangaratta,Wangaratta (VIC),7,,AMR,1,9.6,No
Snowy Wangaratta,Wangaratta (VIC),8,,2 Up Towing,2,9.6,No
Destiny RV / Dario,St Marys (SA),1,,Wardys,1,9.0,No
Destiny RV / Dario,St Marys (SA),2,,MJO,2,9.1,No
